================ Training Loss (Tue Nov 17 03:34:35 2020) ================
(epoch: 12, iters: 400, time: 0.750, data: 0.001) D_A: 0.258 G_A: 0.149 cycle_A: 1.784 idt_A: 1.271 D_B: 0.265 G_B: 0.172 cycle_B: 2.549 idt_B: 0.655 
(epoch: 13, iters: 100, time: 0.340, data: 0.132) D_A: 0.085 G_A: 0.439 cycle_A: 1.593 idt_A: 1.065 D_B: 0.205 G_B: 0.299 cycle_B: 2.492 idt_B: 0.698 
(epoch: 13, iters: 200, time: 0.340, data: 0.001) D_A: 0.088 G_A: 0.970 cycle_A: 1.765 idt_A: 1.737 D_B: 0.282 G_B: 0.142 cycle_B: 4.643 idt_B: 0.796 
(epoch: 13, iters: 300, time: 0.340, data: 0.001) D_A: 0.062 G_A: 0.241 cycle_A: 2.455 idt_A: 0.964 D_B: 0.072 G_B: 1.117 cycle_B: 2.400 idt_B: 1.306 
(epoch: 13, iters: 400, time: 0.744, data: 0.001) D_A: 0.092 G_A: 0.540 cycle_A: 2.295 idt_A: 1.071 D_B: 0.160 G_B: 0.462 cycle_B: 2.407 idt_B: 0.974 
(epoch: 14, iters: 100, time: 0.340, data: 0.147) D_A: 0.097 G_A: 0.665 cycle_A: 2.317 idt_A: 0.953 D_B: 0.256 G_B: 0.206 cycle_B: 2.258 idt_B: 1.203 
(epoch: 14, iters: 200, time: 0.340, data: 0.001) D_A: 0.239 G_A: 0.122 cycle_A: 1.994 idt_A: 1.069 D_B: 0.356 G_B: 0.120 cycle_B: 2.351 idt_B: 0.980 
(epoch: 14, iters: 300, time: 0.339, data: 0.001) D_A: 0.121 G_A: 1.535 cycle_A: 1.762 idt_A: 0.813 D_B: 0.074 G_B: 0.541 cycle_B: 1.913 idt_B: 0.644 
(epoch: 14, iters: 400, time: 0.796, data: 0.002) D_A: 0.082 G_A: 0.510 cycle_A: 2.369 idt_A: 0.735 D_B: 0.506 G_B: 0.149 cycle_B: 2.113 idt_B: 0.999 
(epoch: 15, iters: 100, time: 0.339, data: 0.143) D_A: 0.161 G_A: 1.031 cycle_A: 1.642 idt_A: 0.499 D_B: 0.344 G_B: 0.061 cycle_B: 1.118 idt_B: 0.784 
(epoch: 15, iters: 200, time: 0.339, data: 0.002) D_A: 0.234 G_A: 0.434 cycle_A: 1.693 idt_A: 0.531 D_B: 0.170 G_B: 0.245 cycle_B: 1.440 idt_B: 0.741 
(epoch: 15, iters: 300, time: 0.339, data: 0.001) D_A: 0.273 G_A: 0.838 cycle_A: 2.248 idt_A: 0.738 D_B: 0.137 G_B: 0.205 cycle_B: 1.640 idt_B: 0.867 
(epoch: 15, iters: 400, time: 0.762, data: 0.002) D_A: 0.518 G_A: 0.381 cycle_A: 1.428 idt_A: 0.947 D_B: 0.438 G_B: 0.108 cycle_B: 2.050 idt_B: 0.753 
(epoch: 16, iters: 100, time: 0.338, data: 0.139) D_A: 0.242 G_A: 0.407 cycle_A: 1.433 idt_A: 0.547 D_B: 0.336 G_B: 0.864 cycle_B: 1.494 idt_B: 0.716 
(epoch: 16, iters: 200, time: 0.340, data: 0.002) D_A: 0.175 G_A: 0.671 cycle_A: 1.646 idt_A: 0.526 D_B: 0.108 G_B: 0.428 cycle_B: 1.605 idt_B: 0.869 
(epoch: 16, iters: 300, time: 0.339, data: 0.001) D_A: 0.089 G_A: 0.281 cycle_A: 1.492 idt_A: 0.498 D_B: 0.271 G_B: 0.702 cycle_B: 1.135 idt_B: 0.704 
(epoch: 16, iters: 400, time: 0.776, data: 0.002) D_A: 0.253 G_A: 0.152 cycle_A: 1.468 idt_A: 0.681 D_B: 0.273 G_B: 0.730 cycle_B: 1.172 idt_B: 0.761 
(epoch: 17, iters: 100, time: 0.339, data: 0.153) D_A: 0.344 G_A: 0.452 cycle_A: 1.994 idt_A: 0.620 D_B: 0.085 G_B: 0.677 cycle_B: 1.304 idt_B: 0.790 
(epoch: 17, iters: 200, time: 0.340, data: 0.001) D_A: 0.160 G_A: 0.180 cycle_A: 1.913 idt_A: 2.946 D_B: 0.073 G_B: 0.821 cycle_B: 5.334 idt_B: 0.797 
(epoch: 17, iters: 300, time: 0.339, data: 0.002) D_A: 0.091 G_A: 0.325 cycle_A: 1.511 idt_A: 0.911 D_B: 0.070 G_B: 0.538 cycle_B: 2.419 idt_B: 0.674 
(epoch: 17, iters: 400, time: 0.812, data: 0.001) D_A: 0.092 G_A: 0.412 cycle_A: 1.575 idt_A: 0.673 D_B: 0.050 G_B: 0.385 cycle_B: 1.746 idt_B: 0.828 
(epoch: 18, iters: 100, time: 0.340, data: 0.148) D_A: 0.193 G_A: 0.272 cycle_A: 2.383 idt_A: 1.162 D_B: 0.115 G_B: 0.485 cycle_B: 2.099 idt_B: 0.887 
(epoch: 18, iters: 200, time: 0.340, data: 0.001) D_A: 0.220 G_A: 0.080 cycle_A: 1.949 idt_A: 1.028 D_B: 0.157 G_B: 0.509 cycle_B: 2.024 idt_B: 0.823 
(epoch: 18, iters: 300, time: 0.339, data: 0.002) D_A: 0.348 G_A: 0.071 cycle_A: 1.934 idt_A: 0.594 D_B: 0.391 G_B: 0.203 cycle_B: 2.026 idt_B: 0.901 
(epoch: 18, iters: 400, time: 0.817, data: 0.001) D_A: 0.070 G_A: 0.566 cycle_A: 1.601 idt_A: 1.232 D_B: 0.066 G_B: 1.113 cycle_B: 2.460 idt_B: 0.620 
(epoch: 19, iters: 100, time: 0.340, data: 0.134) D_A: 0.166 G_A: 0.953 cycle_A: 1.329 idt_A: 0.537 D_B: 0.273 G_B: 0.152 cycle_B: 1.899 idt_B: 0.783 
(epoch: 19, iters: 200, time: 0.340, data: 0.001) D_A: 0.170 G_A: 0.341 cycle_A: 1.317 idt_A: 0.946 D_B: 0.053 G_B: 0.809 cycle_B: 1.811 idt_B: 0.719 
(epoch: 19, iters: 300, time: 0.340, data: 0.001) D_A: 0.177 G_A: 0.253 cycle_A: 1.522 idt_A: 0.752 D_B: 0.291 G_B: 0.270 cycle_B: 1.500 idt_B: 0.773 
(epoch: 19, iters: 400, time: 0.845, data: 0.002) D_A: 0.272 G_A: 0.590 cycle_A: 1.495 idt_A: 0.654 D_B: 0.271 G_B: 0.837 cycle_B: 1.108 idt_B: 0.816 
(epoch: 20, iters: 100, time: 0.339, data: 0.142) D_A: 0.253 G_A: 0.322 cycle_A: 1.704 idt_A: 1.164 D_B: 0.261 G_B: 0.452 cycle_B: 2.488 idt_B: 0.757 
(epoch: 20, iters: 200, time: 0.339, data: 0.001) D_A: 0.138 G_A: 0.784 cycle_A: 1.379 idt_A: 0.542 D_B: 0.128 G_B: 0.507 cycle_B: 1.631 idt_B: 0.849 
(epoch: 20, iters: 300, time: 0.340, data: 0.001) D_A: 0.110 G_A: 0.712 cycle_A: 1.361 idt_A: 1.487 D_B: 0.136 G_B: 0.304 cycle_B: 2.868 idt_B: 0.796 
(epoch: 20, iters: 400, time: 0.899, data: 0.001) D_A: 0.479 G_A: 0.413 cycle_A: 1.345 idt_A: 1.132 D_B: 0.054 G_B: 0.467 cycle_B: 1.795 idt_B: 0.614 
(epoch: 21, iters: 100, time: 0.340, data: 0.172) D_A: 0.155 G_A: 0.244 cycle_A: 1.227 idt_A: 0.971 D_B: 0.168 G_B: 0.218 cycle_B: 1.781 idt_B: 0.678 
(epoch: 21, iters: 200, time: 0.340, data: 0.001) D_A: 0.409 G_A: 0.267 cycle_A: 1.557 idt_A: 0.611 D_B: 0.415 G_B: 0.168 cycle_B: 1.525 idt_B: 1.030 
(epoch: 21, iters: 300, time: 0.340, data: 0.002) D_A: 0.216 G_A: 0.369 cycle_A: 2.305 idt_A: 0.671 D_B: 0.129 G_B: 0.091 cycle_B: 1.597 idt_B: 1.106 
(epoch: 21, iters: 400, time: 0.790, data: 0.002) D_A: 0.310 G_A: 0.660 cycle_A: 1.715 idt_A: 1.053 D_B: 0.249 G_B: 1.048 cycle_B: 2.086 idt_B: 0.752 
